STREET,Scenario,Start,End,Duration_Hrs,LanesPar,TestBed,SceTest,ScoPresence,Interactions_T,Interactions_Bike,Interactions_Sco,PC_T,PC_Bike,PC_Sco,T_Sco,T_Bike,BikesScoPerHr_T,BikePerHr_Bikes,vph,NRTOR,LBPSec,T_1PR_T,PR1_hr,PR1_PC,T_1PR_Bike,T_1PR_Sco,T_2PR_T,PR2_hr,PR2_PC,T_2PR_Bike,T_2PR_Sco,T_NM_T,NM_hr,NM_PC,T_NM_Bike,T_NM_Sco,YieldVeh,YieldBike,T_VY_T,T_VY_Bike,T_VY_Sco,T_VFY_T,T_VFY_Bikr,T_VFY_Sco,T_CY_T,ConNeg_hr,ConNeg_PC,T_CY_Bike,T_CY_Sco,T_CFY_T,T_CFY_Bike,T_CFY_Sco,T_VFTYLTSD_T,T_VFTYLTSD_Bike,T_VFTYLTSD_Sco,T_VFTYRTSD_T,T_VFTYRTSD_Bike,T_VFTYRTSD_Sco,T_VFTYLTOD_T,T_VFTYLTOD_Bike,T_VFTYLTOD_Sco,T_VFTYROR_T,T_VFTYROR_Bike,T_VFTYROR_Sco,T_BFTYLTSD_T,T_BFTYLTSD_Bike,T_BFTYLTSD_Sco,T_BFTYRTSD_T,T_BFTYRTSD_Bike,T_BFTYRTSD_Sco,T_BFTYLTOD_T,T_BFTYLTOD_Bike,T_BFTYLTOD_Sco,T_BFTYROR_T,T_BFTYROR_Bike,T_BFTYROR_Sco,T_SP_T,T_SP_Bike,T_SP_Sco,T_RWW_T,T_RWW_Bike,T_RWW_Sco,T_BSJ_T,T_BSJ_B,T_BGA_T,T_BGA_B,T_BO_T,T_BO_B,T_BRPS_T,T_BRPS_B,T_BT_T,T_BT_B,T_BRRL_T,T_BRRL_B,BRRL_hr,BRRL_Cy,BRRL_PC,T_RB_T,T_RB_Bike,T_RB_Sco,T_WB_T,T_WB_B,T_WB_Sco,VehSig_hr,VehSig_PC,T_VSJ_T,T_VSJ_Bike,T_VSJ_Sco,T_VGA_T,T_VGA_Bike,T_VGA_Sco,T_VO_T,T_VO_Bike,T_VO_Sco,T_LBPA_T,T_LBPA_Bike,T_LBPA_Sco,T_LBPNA_T,T_LBPNA_Bike,T_LBPNA_Sco,T_VNRTORNonComp_T,T_VNRTORNonComp_Bike,T_VNRTORNonComp_Sco,T_VNRTORComp_T,T_VNRTORComp_Bike,T_VNRTORComp_Sco,T_CYCWOVEH_T,T_CYCWOVEH_Bike,T_CYCWOVEH_Sco,T_CYCWVEH_T,T_CYCWVEH_Bike,T_CYCWVEH_Sco
3rd & Guadalupe,B,15:00:00,18:09:00,3.15,5,1,1,0,215,215,0,54,54,0,1,242,77,77,1521.269841,N/A,0,11,3.492063492,0.203703704,11,0,3,0.952380952,0.055555556,3,0,4,1.26984127,0.074074074,4,0,0.680851064,0.5,32,32,0,15,15,0,3,11.11111111,0.648148148,3,0,3,3,0,0,0,0,9,9,0,6,6,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,161,161,0,8,8,0,19,,1,,12,,3,,35,,34,,10.79365079,0.140495868,0.62962963,19,19,0,1,1,0,0.95,0.06,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,,,,34,34,0,209,209,0
3rd & Guadalupe,A,15:00:00,14:59:00,23.98,5,1,2,0,471,471,0,139,139,0,1,727,30,30,772.7916667,N/A,7,25,1.042535446,0.179856115,25,0,5,0.208507089,0.035971223,5,0,12,0.500417014,0.086330935,12,0,0.714285714,1,95,95,0,38,38,0,4,4.128440367,0.712230216,4,0,0,0,0,2,2,0,13,13,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,331,0,16,16,0,36,,78,,7,,10,,131,,123,,5.129274395,0.169188446,0.884892086,53,53,0,4,4,0,0.21,0.04,2,2,0,1,1,0,2,2,0,59,59,0,52,52,0,1,1,0,,,,275,275,0,453,453,0
3rd & Lavaca,B,15:00:00,18:38:00,3.63,4,1,1,0,256,256,0,51,51,0,0,317,87,87,300,N/A,0,7,1.928374656,0.137254902,7,0,0,0,0,0,0,2,0.550964187,0.039215686,2,0,0.931818182,1,41,41,0,3,3,0,1,11.57024793,0.823529412,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,205,0,4,4,0,29,,7,,1,,4,,41,,41,,11.29476584,0.129337539,0.803921569,13,13,0,2,2,0,0.55,0.04,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,,,,64,64,0,254,254,0
3rd & Lavaca,A,15:00:00,13:47:00,22.78,4,1,2,1,512,451,61,145,128,17,131,884,45,39,776.8397952,N/A,7,21,0.921861282,0.144827586,19,2,3,0.131694469,0.020689655,3,0,1,0.043898156,0.006896552,1,0,0.88,0.727272727,110,94,16,15,14,1,8,5.179982441,0.813793103,7,1,3,3,0,0,0,0,13,12,1,1,1,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,367,325,42,23,18,5,77,70,68,63,10,6,18,15,173,154,157,141,6.892010536,0.17760181,1.082758621,82,65,17,6,6,0,0.09,0.01,1,1,0,1,1,0,0,0,0,266,235,31,94,83,11,0,0,0,,,,506,436,70,508,447,61
3rd & Colorado,B,15:00:00,19:10:00,4.17,2,1,1,0,246,246,0,57,57,0,0,351,84,84,731.76,N/A,0,10,2.398081535,0.175438596,10,0,5,1.199040767,0.087719298,5,0,3,0.71942446,0.052631579,3,0,0.678571429,1,38,38,0,18,18,0,3,9.832134293,0.719298246,3,0,0,0,0,0,0,0,9,9,0,2,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,189,189,0,12,12,0,14,,18,,1,,3,,36,,33,,7.913669065,0.094017094,0.578947368,15,15,0,1,1,0,0.24,0.02,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,102,102,0,246,246,0
3rd & Colorado,A,15:00:00,19:02:00,4.03,2,1,2,1,214,149,65,50,38,12,153,275,106,68,481.2396694,N/A,7,3,0.744416873,0.06,2,1,0,0,0,0,0,2,0.496277916,0.04,2,0,0.926829268,1,38,29,9,3,2,1,3,10.17369727,0.82,2,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,111,53,8,3,5,9,8,35,24,10,6,17,10,71,48,55,39,13.64764268,0.2,1.1,53,22,31,0,0,0,1.99,0.16,0,0,0,0,0,0,8,8,0,34,25,9,18,14,4,0,0,0,,,,218,130,88,211,146,65
3rd & Congress,B,15:00:00,16:55:00,1.92,6,1,1,0,139,139,0,59,59,0,0,162,85,85,1813.043478,N/A,0,6,3.125,0.101694915,6,0,1,0.520833333,0.016949153,1,0,3,1.5625,0.050847458,3,0,0.875,0.571428571,42,42,0,6,6,0,4,23.95833333,0.779661017,4,0,3,3,0,0,0,0,3,3,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,80,80,0,4,4,0,18,,5,,1,,2,,26,,26,,13.54166667,0.160493827,0.440677966,11,11,0,1,1,0,1.04,0.03,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,30,30,0,133,133,0
3rd & Congress,A,15:00:00,17:46:00,2.77,6,1,2,0,246,244,2,81,81,0,2,332,121,120,1727.349398,N/A,7,11,3.971119134,0.135802469,11,0,2,0.722021661,0.024691358,2,0,0,0,0,0,0,0.890410959,0.714285714,65,65,0,8,8,0,5,25.27075812,0.864197531,5,0,2,2,0,0,0,0,4,4,0,3,3,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,165,163,2,2,2,0,23,23,10,10,0,0,5,5,38,38,33,33,11.9133574,0.09939759,0.407407407,46,45,1,1,1,0,0.36,0.01,1,1,0,0,0,0,0,0,0,83,83,0,52,50,2,0,0,0,,,,93,93,0,244,242,2
3rd & Congress,A2,15:00:00,16:43:00,1.72,6,1,3,1,229,120,109,51,20,31,113,150,153,87.37864078,1727.349398,N/A,5,5,2.912621359,0.098039216,2,3,1,0.582524272,0.019607843,1,0,3,1.747572816,0.058823529,1,2,0.847826087,0.5,39,13,26,7,4,3,1,23.30097087,0.784313725,1,0,1,1,0,0,0,0,5,2,3,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,178,100,78,7,4,3,3,3,3,2,3,3,9,8,18,16,11,9,6.40776699,0.073333333,0.215686275,70,26,44,1,1,0,4.66,0.16,0,0,0,0,0,0,8,8,0,28,20,8,12,9,3,0,0,0,,,,35,31,4,224,117,107
3rd & Brazos,B,15:00:00,21:43:00,6.72,2,1,1,0,265,265,0,50,50,0,0,445,66,66,168.5359801,N/A,0,12,1.785714286,0.24,12,0,1,0.148809524,0.02,1,0,3,0.446428571,0.06,3,0,0.756756757,0.833333333,28,28,0,9,9,0,5,4.910714286,0.66,5,0,1,1,0,0,0,0,5,5,0,3,3,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,215,215,0,6,6,0,13,,23,,25,,1,,62,,62,,9.226190476,0.139325843,1.24,16,16,0,2,2,0,0.3,0.04,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,179,179,0,266,266,0
